 TIME                    	Dry                      	Total                    	Horizontal               	
 HOURS              	Unit1               	Unit2               	Unit3               	
  +5.2750000000000000E+01	  -1.0312500000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.2875000000000000E+01	  -1.0187500000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3000000000000000E+01	  -1.0062500000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3125000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3250000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3375000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3500000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3625000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3750000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3875000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4000000000000000E+01	  -1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4125000000000000E+01	  -9.9375000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4250000000000000E+01	  -9.8124999999999996E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4375000000000000E+01	  -9.6875000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4500000000000000E+01	  -9.5625000000000004E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4625000000000000E+01	  -9.4374999999999998E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4750000000000000E+01	  -9.3125000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4875000000000000E+01	  -9.1875000000000007E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5000000000000000E+01	  -9.0625000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5125000000000000E+01	  -8.7500000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5250000000000000E+01	  -8.2500000000000007E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5375000000000000E+01	  -7.7500000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5500000000000000E+01	  -7.2499999999999998E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5625000000000000E+01	  -6.7500000000000004E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5750000000000000E+01	  -6.2500000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5875000000000000E+01	  -5.7499999999999996E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.6000000000000000E+01	  -5.2500000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.6125000000000000E+01	  -4.8125000000000001E-01	  +1.9566795417130859E+01	  +0.0000000000000000E+00	
  +5.6250000000000000E+01	  -4.4374999999999998E-01	  +2.9871927654915893E+01	  +0.0000000000000000E+00	
  +5.6375000000000000E+01	  -4.0625000000000000E-01	  +3.9956768808718351E+01	  +0.0000000000000000E+00	
  +5.6500000000000000E+01	  -3.6875000000000002E-01	  +4.9810519778033175E+01	  +0.0000000000000000E+00	
  +5.6625000000000000E+01	  -3.3124999999999999E-01	  +5.9422628919512377E+01	  +0.0000000000000000E+00	
  +5.6750000000000000E+01	  -2.9375000000000001E-01	  +6.8782803345930660E+01	  +0.0000000000000000E+00	
  +5.6875000000000000E+01	  -2.5625000000000003E-01	  +7.7881019948065529E+01	  +0.0000000000000000E+00	
  +5.7000000000000000E+01	  -2.1875000000000000E-01	  +8.6707536127693146E+01	  +0.0000000000000000E+00	
  +5.7125000000000000E+01	  -1.7500000000000002E-01	  +1.7991780879165776E+02	  +0.0000000000000000E+00	
  +5.7250000000000000E+01	  -1.2500000000000000E-01	  +1.9551032682862549E+02	  +0.0000000000000000E+00	
  +5.7375000000000000E+01	  -7.5000000000000011E-02	  +2.1053781173967084E+02	  +0.0000000000000000E+00	
  +5.7500000000000000E+01	  -2.5000000000000001E-02	  +2.2498417171755560E+02	  +0.0000000000000000E+00	
  +5.7625000000000000E+01	  +2.5000000000000001E-02	  +2.3883393723817377E+02	  +0.0000000000000000E+00	
  +5.7750000000000000E+01	  +7.5000000000000011E-02	  +2.5207227762570460E+02	  +0.0000000000000000E+00	
  +5.7875000000000000E+01	  +1.2500000000000000E-01	  +2.6468501693368029E+02	  +0.0000000000000000E+00	
  +5.8000000000000000E+01	  +1.7500000000000002E-01	  +2.7665864912493151E+02	  +0.0000000000000000E+00	
  +5.8125000000000000E+01	  +2.2500000000000001E-01	  +3.3644755805868766E+02	  +1.6657464804412416E+00	
  +5.8250000000000000E+01	  +2.7500000000000002E-01	  +3.4889889594848057E+02	  +1.7775049832579661E+00	
  +5.8375000000000000E+01	  +3.2500000000000001E-01	  +3.6056108801975597E+02	  +1.8844674853841799E+00	
  +5.8500000000000000E+01	  +3.7500000000000000E-01	  +3.7142164610513800E+02	  +1.9859648214595196E+00	
  +5.8625000000000000E+01	  +4.2499999999999999E-01	  +3.8146894044700326E+02	  +2.0814052191109549E+00	
  +5.8750000000000000E+01	  +4.7499999999999998E-01	  +3.9069221215091125E+02	  +2.1702666053861455E+00	
  +5.8875000000000000E+01	  +5.2500000000000002E-01	  +3.9908158470650392E+02	  +2.2520899853708474E+00	
  +5.9000000000000000E+01	  +5.7499999999999996E-01	  +4.0662807456351965E+02	  +2.3264737981076795E+00	
  +5.9125000000000000E+01	  +6.2500000000000000E-01	  +4.3491091145065974E+02	  +1.0838848326833560E+01	
  +5.9250000000000000E+01	  +6.7499999999999993E-01	  +4.4105318305261210E+02	  +1.1103840495797709E+01	
  +5.9375000000000000E+01	  +7.2499999999999998E-01	  +4.4628592484859712E+02	  +1.1331042192248706E+01	
  +5.9500000000000000E+01	  +7.7500000000000002E-01	  +4.5060353348763363E+02	  +1.1519491781753603E+01	
  +5.9625000000000000E+01	  +8.2499999999999996E-01	  +4.5400138556624614E+02	  +1.1668410539686024E+01	
  +5.9750000000000000E+01	  +8.7500000000000000E-01	  +4.5647584257932238E+02	  +1.1777194750151297E+01	
  +5.9875000000000000E+01	  +9.2500000000000004E-01	  +4.5802425481631406E+02	  +1.1845409712718505E+01	
  +6.0000000000000000E+01	  +9.7499999999999998E-01	  +4.5864496419861462E+02	  +1.1872785499850785E+01	
  +6.0125000000000000E+01	  +1.0249999999999999E+00	  +4.5715699094902021E+02	  +1.1905838755514331E+01	
  +6.0250000000000000E+01	  +1.0750000000000000E+00	  +4.5592447690573090E+02	  +1.1851159927265789E+01	
  +6.0375000000000000E+01	  +1.1250000000000000E+00	  +4.5376763448508092E+02	  +1.1755642644250646E+01	
  +6.0500000000000000E+01	  +1.1750000000000000E+00	  +4.5068877328795827E+02	  +1.1619667138512755E+01	
  +6.0625000000000000E+01	  +1.2249999999999999E+00	  +4.4669119023604861E+02	  +1.1443781695762448E+01	
  +6.0750000000000000E+01	  +1.2749999999999999E+00	  +4.4177916604141342E+02	  +1.1228708064212347E+01	
  +6.0875000000000000E+01	  +1.3250000000000000E+00	  +4.3595796062259325E+02	  +1.0975348720214344E+01	
  +6.1000000000000000E+01	  +1.3750000000000000E+00	  +4.2923380747215469E+02	  +1.0684796180598470E+01	
  +6.1125000000000000E+01	  +1.3875000000000000E+00	  +3.9737082725931060E+02	  +4.6209540273188399E+00	
  +6.1250000000000000E+01	  +1.3624999999999998E+00	  +3.8935252523493261E+02	  +4.4599796600252910E+00	
  +6.1375000000000000E+01	  +1.3374999999999999E+00	  +3.8050625853529283E+02	  +4.2844415540783203E+00	
  +6.1500000000000000E+01	  +1.3125000000000000E+00	  +3.7084149996434599E+02	  +4.0952303009214477E+00	
  +6.1625000000000000E+01	  +1.2874999999999999E+00	  +3.6036859878764579E+02	  +3.8933603733210820E+00	
  +6.1750000000000000E+01	  +1.2625000000000000E+00	  +3.4909876965009158E+02	  +3.6799828648905630E+00	
  +6.1875000000000000E+01	  +1.2375000000000000E+00	  +3.3704408056699998E+02	  +3.4564003445482827E+00	
  +6.2000000000000000E+01	  +1.2124999999999999E+00	  +3.2421744000138096E+02	  +3.2240839779145540E+00	
  +6.2125000000000000E+01	  +1.1812499999999999E+00	  +2.6695377695578327E+02	  +0.0000000000000000E+00	
  +6.2250000000000000E+01	  +1.1437500000000000E+00	  +2.5464001968734806E+02	  +0.0000000000000000E+00	
  +6.2375000000000000E+01	  +1.1062500000000000E+00	  +2.4170034807811629E+02	  +0.0000000000000000E+00	
  +6.2500000000000000E+01	  +1.0687500000000001E+00	  +2.2814861825254818E+02	  +0.0000000000000000E+00	
  +6.2625000000000000E+01	  +1.0312500000000000E+00	  +2.1399934174237725E+02	  +0.0000000000000000E+00	
  +6.2750000000000000E+01	  +9.9375000000000002E-01	  +1.9926766994729110E+02	  +0.0000000000000000E+00	
  +6.2875000000000000E+01	  +9.5625000000000004E-01	  +1.8396937791043408E+02	  +0.0000000000000000E+00	
  +6.3000000000000000E+01	  +9.1875000000000007E-01	  +1.6812084742610176E+02	  +0.0000000000000000E+00	
  +6.3125000000000000E+01	  +8.8750000000000007E-01	  +9.1776822367392796E+01	  +0.0000000000000000E+00	
  +6.3250000000000000E+01	  +8.6250000000000004E-01	  +8.1556638423252110E+01	  +0.0000000000000000E+00	
  +6.3375000000000000E+01	  +8.3750000000000002E-01	  +7.1035470635850828E+01	  +0.0000000000000000E+00	
  +6.3500000000000000E+01	  +8.1250000000000000E-01	  +6.0224585335182034E+01	  +0.0000000000000000E+00	
  +6.3625000000000000E+01	  +7.8749999999999998E-01	  +4.9135559088008257E+01	  +0.0000000000000000E+00	
  +6.3750000000000000E+01	  +7.6249999999999996E-01	  +3.7780266301385424E+01	  +0.0000000000000000E+00	
  +6.3875000000000000E+01	  +7.3749999999999993E-01	  +2.6170866507248284E+01	  +0.0000000000000000E+00	
  +6.4000000000000000E+01	  +7.1249999999999991E-01	  +1.4319791341680224E+01	  +0.0000000000000000E+00	
  +6.4125000000000000E+01	  +6.8750000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.4250000000000000E+01	  +6.6249999999999998E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.4375000000000000E+01	  +6.3749999999999996E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.4500000000000000E+01	  +6.1249999999999993E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.4625000000000000E+01	  +5.8750000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.4750000000000000E+01	  +5.6250000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.4875000000000000E+01	  +5.3749999999999998E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5000000000000000E+01	  +5.1249999999999996E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5125000000000000E+01	  +4.8749999999999999E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5250000000000000E+01	  +4.6250000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5375000000000000E+01	  +4.3750000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5500000000000000E+01	  +4.1249999999999998E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5625000000000000E+01	  +3.8750000000000001E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5750000000000000E+01	  +3.6249999999999999E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.5875000000000000E+01	  +3.3749999999999997E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6000000000000000E+01	  +3.1250000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6125000000000000E+01	  +2.8749999999999998E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6250000000000000E+01	  +2.6250000000000001E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6375000000000000E+01	  +2.3749999999999999E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6500000000000000E+01	  +2.1249999999999999E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6625000000000000E+01	  +1.8750000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6750000000000000E+01	  +1.6250000000000001E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.6875000000000000E+01	  +1.3750000000000001E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.7000000000000000E+01	  +1.1250000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.7125000000000000E+01	  +6.8750000000000006E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.7250000000000000E+01	  +6.2500000000000003E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.7375000000000000E+01	  -5.6250000000000001E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.7500000000000000E+01	  -1.1875000000000001E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.7625000000000000E+01	  -1.8125000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.7750000000000000E+01	  -2.4375000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
